type,date,time,value
weekly,1/1/2022,21:45:00,100
daily,1/1/2022,23:36:00,20
daily,2/1/2022,7:00:00,20
daily,3/1/2022,8:24:00,20
daily,4/1/2022,9:48:00,20
daily,5/1/2022,10:12:00,20
daily,6/1/2022,11:36:00,20
daily,7/1/2022,12:00:00,20
daily,8/1/2022,13:24:00,20
weekly,9/1/2022,9:15:00,100
daily,9/1/2022,14:48:00,20
weekly,10/1/2022,11:45:00,100
daily,10/1/2022,15:12:00,20
daily,11/1/2022,16:36:00,20
daily,12/1/2022,17:00:00,20
daily,13/01/2022,18:24:00,20
daily,14/01/2022,19:48:00,20
daily,15/01/2022,20:12:00,20
daily,16/01/2022,21:36:00,20
daily,17/01/2022,22:00:00,20
weekly,18/01/2022,13:15:00,100
daily,18/01/2022,23:24:00,20
daily,19/01/2022,7:48:00,20
daily,20/01/2022,8:12:00,20
daily,21/01/2022,9:36:00,20
daily,22/01/2022,10:00:00,20
daily,23/01/2022,11:24:00,20
daily,24/01/2022,12:48:00,20
daily,25/01/2022,13:12:00,20
daily,26/01/2022,14:36:00,20
weekly,26/01/2022,15:45:00,100
daily,27/01/2022,15:00:00,20
daily,28/01/2022,16:24:00,20
montly,29/01/2022,17:00:00,200
daily,29/01/2022,17:48:00,20
daily,30/01/2022,18:12:00,20
daily,31/01/2022,19:36:00,20
daily,1/2/2022,20:00:00,20
daily,2/2/2022,21:24:00,20
weekly,3/2/2022,17:15:00,100
daily,3/2/2022,22:48:00,20
daily,4/2/2022,23:12:00,20
daily,5/2/2022,7:36:00,20
daily,6/2/2022,8:00:00,20
daily,7/2/2022,9:24:00,20
daily,8/2/2022,10:48:00,20
daily,9/2/2022,11:12:00,20
daily,10/2/2022,12:36:00,20
daily,11/2/2022,13:00:00,20
weekly,11/2/2022,19:45:00,100
daily,12/2/2022,14:24:00,20
daily,13/02/2022,15:48:00,20
daily,14/02/2022,16:12:00,20
daily,15/02/2022,17:36:00,20
daily,16/02/2022,18:00:00,20
daily,17/02/2022,19:24:00,20
daily,18/02/2022,20:48:00,20
daily,19/02/2022,21:12:00,20
weekly,19/02/2022,21:15:00,100
daily,20/02/2022,22:36:00,20
daily,21/02/2022,23:00:00,20
daily,22/02/2022,7:24:00,20
daily,23/02/2022,8:48:00,20
daily,24/02/2022,9:12:00,20
daily,25/02/2022,10:36:00,20
daily,26/02/2022,11:00:00,20
montly,26/02/2022,18:00:00,200
weekly,27/02/2022,9:45:00,100
daily,27/02/2022,12:24:00,20
weekly,28/02/2022,11:15:00,100
daily,28/02/2022,13:48:00,20
daily,1/3/2022,14:12:00,20
daily,2/3/2022,15:36:00,20
daily,3/3/2022,16:00:00,20
daily,4/3/2022,17:24:00,20
daily,5/3/2022,18:48:00,20
daily,6/3/2022,19:12:00,20
daily,7/3/2022,20:36:00,20
weekly,8/3/2022,13:45:00,100
daily,8/3/2022,21:00:00,20
daily,9/3/2022,22:24:00,20
daily,10/3/2022,23:48:00,20
daily,11/3/2022,7:12:00,20
daily,12/3/2022,8:36:00,20
daily,13/03/2022,9:00:00,20
daily,14/03/2022,10:24:00,20
daily,15/03/2022,11:48:00,20
daily,16/03/2022,12:12:00,20
weekly,16/03/2022,15:15:00,100
daily,17/03/2022,13:36:00,20
daily,18/03/2022,14:00:00,20
